Country,Year,Category,Value
Argentina,1980,All Diseases,528.6
Argentina,1980,All Exterrnal Factors,51.1
Argentina,1980,All Suicide,7.4
Argentina,1980,Expected Lifespan,69.5
Argentina,1981,All Diseases,526.7
Argentina,1981,All Exterrnal Factors,51.5
Argentina,1981,All Suicide,8.1
Argentina,1981,Expected Lifespan,69.8
Argentina,1982,All Diseases,505.2
Argentina,1982,All Exterrnal Factors,46.1
Argentina,1982,All Suicide,6.8
Argentina,1982,Expected Lifespan,70
Argentina,1983,All Diseases,551.6
Argentina,1983,All Exterrnal Factors,50.3
Argentina,1983,All Suicide,6.3
Argentina,1983,Expected Lifespan,70.3
Argentina,1984,All Diseases,560.2
Argentina,1984,All Exterrnal Factors,47.8
Argentina,1984,All Suicide,6.5
Argentina,1984,Expected Lifespan,70.5
Argentina,1985,All Diseases,516.4
Argentina,1985,All Exterrnal Factors,41.7
Argentina,1985,All Suicide,6.8
Argentina,1985,Expected Lifespan,70.6
Argentina,1986,All Diseases,514.7
Argentina,1986,All Exterrnal Factors,46.8
Argentina,1986,All Suicide,7.8
Argentina,1986,Expected Lifespan,70.8
Argentina,1987,All Diseases,529.4
Argentina,1987,All Exterrnal Factors,46.4
Argentina,1987,All Suicide,7.7
Argentina,1987,Expected Lifespan,71
Argentina,1988,All Diseases,499.3
Argentina,1988,All Exterrnal Factors,46.6
Argentina,1988,All Suicide,7.7
Argentina,1988,Expected Lifespan,71.1
Argentina,1989,All Diseases,476.9
Argentina,1989,All Exterrnal Factors,47.4
Argentina,1989,All Suicide,7.3
Argentina,1989,Expected Lifespan,71.3
Argentina,1990,All Diseases,482.6
Argentina,1990,All Exterrnal Factors,44.4
Argentina,1990,All Suicide,6.8
Argentina,1990,Expected Lifespan,71.5
Argentina,1991,All Diseases,466.6
Argentina,1991,All Exterrnal Factors,45.7
Argentina,1991,All Suicide,6.1
Argentina,1991,Expected Lifespan,71.8
Argentina,1992,All Diseases,473.9
Argentina,1992,All Exterrnal Factors,46.7
Argentina,1992,All Suicide,6.8
Argentina,1992,Expected Lifespan,72
Argentina,1993,All Diseases,467
Argentina,1993,All Exterrnal Factors,46.3
Argentina,1993,All Suicide,6.8
Argentina,1993,Expected Lifespan,72.2
Argentina,1994,All Diseases,426.7
Argentina,1994,All Exterrnal Factors,47.6
Argentina,1994,All Suicide,6.7
Argentina,1994,Expected Lifespan,72.4
Argentina,1995,All Diseases,454.7
Argentina,1995,All Exterrnal Factors,44.7
Argentina,1995,All Suicide,6.5
Argentina,1995,Expected Lifespan,72.7
Argentina,1996,All Diseases,436.6
Argentina,1996,All Exterrnal Factors,45.8
Argentina,1996,All Suicide,6.5
Argentina,1996,Expected Lifespan,72.9
Argentina,1997,All Diseases,411.5
Argentina,1997,All Exterrnal Factors,46.1
Argentina,1997,All Suicide,6.2
Argentina,1997,Expected Lifespan,73.1
Argentina,1998,All Diseases,427.4
Argentina,1998,All Exterrnal Factors,46.9
Argentina,1998,All Suicide,6.5
Argentina,1998,Expected Lifespan,73.3
Argentina,1999,All Diseases,435.4
